2021-05-20 19:38:34.887 [ main ] - [ INFO  ] [ c.a.n.client.config.impl.LocalConfigInfoProcessor : 195 ] - LOCAL_SNAPSHOT_PATH:/Users/mlamp/nacos/config
2021-05-20 19:38:34.906 [ main ] - [ INFO  ] [ com.alibaba.nacos.client.config.impl.Limiter : 53 ] - limitTime:5.0
2021-05-20 19:38:35.164 [ main ] - [ WARN  ] [ c.a.cloud.nacos.client.NacosPropertySourceBuilder : 87 ] - Ignore the empty nacos configuration and get it based on dataId[data-ethics-sdk-service] & group[DEFAULT_GROUP]
2021-05-20 19:38:35.322 [ main ] - [ WARN  ] [ c.a.cloud.nacos.client.NacosPropertySourceBuilder : 87 ] - Ignore the empty nacos configuration and get it based on dataId[data-ethics-sdk-service.yaml] & group[DEFAULT_GROUP]
2021-05-20 19:38:35.324 [ main ] - [ INFO  ] [ o.s.c.b.c.PropertySourceBootstrapConfiguration : 112 ] - Located property source: [BootstrapPropertySource {name='bootstrapProperties-data-ethics-sdk-service.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-data-ethics-sdk-service,DEFAULT_GROUP'}]
2021-05-20 19:38:35.443 [ main ] - [ INFO  ] [ com.mininglamp.SdkApplication : 651 ] - No active profile set, falling back to default profiles: default
2021-05-20 19:38:36.534 [ main ] - [ INFO  ] [ o.springframework.cloud.context.scope.GenericScope : 295 ] - BeanFactory id=f6f79bf6-e627-3505-a0e0-8e2ef4304287
2021-05-20 19:38:36.862 [ main ] - [ INFO  ] [ o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : 335 ] - Bean 'spring.cloud.sentinel-com.alibaba.cloud.sentinel.SentinelProperties' of type [com.alibaba.cloud.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-05-20 19:38:36.880 [ main ] - [ INFO  ] [ o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : 335 ] - Bean 'com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration' of type [com.alibaba.cloud.sentinel.custom.SentinelAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-05-20 19:38:37.172 [ main ] - [ INFO  ] [ o.s.boot.web.embedded.tomcat.TomcatWebServer : 108 ] - Tomcat initialized with port(s): 9000 (http)
2021-05-20 19:38:37.178 [ main ] - [ INFO  ] [ org.apache.coyote.http11.Http11NioProtocol : 173 ] - Initializing ProtocolHandler ["http-nio-9000"]
2021-05-20 19:38:37.179 [ main ] - [ INFO  ] [ org.apache.catalina.core.StandardService : 173 ] - Starting service [Tomcat]
2021-05-20 19:38:37.179 [ main ] - [ INFO  ] [ org.apache.catalina.core.StandardEngine : 173 ] - Starting Servlet engine: [Apache Tomcat/9.0.37]
2021-05-20 19:38:37.274 [ main ] - [ INFO  ] [ o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : 173 ] - Initializing Spring embedded WebApplicationContext
2021-05-20 19:38:37.274 [ main ] - [ INFO  ] [ o.s.b.w.s.c.ServletWebServerApplicationContext : 285 ] - Root WebApplicationContext: initialization completed in 1782 ms
2021-05-20 19:38:38.613 [ main ] - [ WARN  ] [ o.s.cloud.sleuth.zipkin2.ZipkinAutoConfiguration : 111 ] - Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=java.util.concurrent.TimeoutException: RestTemplateSender{http://localhost:9411/api/v2/spans} check() timed out after 1000ms}]
2021-05-20 19:38:39.005 [ main ] - [ WARN  ] [ com.netflix.config.sources.URLConfigurationSource : 121 ] - No URLs will be polled as dynamic configuration sources.
2021-05-20 19:38:39.006 [ main ] - [ INFO  ] [ com.netflix.config.sources.URLConfigurationSource : 122 ] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-05-20 19:38:39.008 [ main ] - [ WARN  ] [ com.netflix.config.sources.URLConfigurationSource : 121 ] - No URLs will be polled as dynamic configuration sources.
2021-05-20 19:38:39.008 [ main ] - [ INFO  ] [ com.netflix.config.sources.URLConfigurationSource : 122 ] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-05-20 19:38:39.269 [ main ] - [ INFO  ] [ o.s.scheduling.concurrent.ThreadPoolTaskExecutor : 181 ] - Initializing ExecutorService 'applicationTaskExecutor'
2021-05-20 19:38:39.330 [ main ] - [ INFO  ] [ c.a.cloud.sentinel.SentinelWebAutoConfiguration : 80 ] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
